         28152696 function calls (26952834 primitive calls) in 609.929 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    53615    0.225    0.000    3.169    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_fast.py:498(_batch_encode_plus)
   153600    1.266    0.000    3.168    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/hook_points.py:610(save_hook)
      600    0.001    0.000    3.143    0.005 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/contextlib.py:132(__enter__)
     7200    3.012    0.000    3.133    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/components/abstract_attention.py:445(calculate_attention_scores)
   168000    0.064    0.000    3.089    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/hook_points.py:355(_enable_hook)
   168000    0.079    0.000    3.017    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/hook_points.py:326(_enable_hook_with_name)
   168000    0.219    0.000    2.938    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/hook_points.py:76(add_hook)
   168000    0.139    0.000    2.676    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/modules/module.py:1658(register_forward_hook)
      600    0.021    0.000    2.649    0.004 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/HookedTransformer.py:339(input_to_embed)
   168000    2.448    0.000    2.538    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/utils/hooks.py:24(__init__)
    30784    0.766    0.000    2.413    0.000 /Users/erikzeiner/currentGit/surprisal_internal_layers/src/EZ_run_gpt2_transformer_lens.py:99(<listcomp>)
    60000    2.375    0.000    2.375    0.000 {method 'mean' of 'torch._C.TensorBase' objects}
     7200    0.015    0.000    2.215    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/functional.py:1693(relu)
     7200    1.175    0.000    2.208    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/components/abstract_attention.py:463(calculate_z_scores)
     7200    2.199    0.000    2.199    0.000 {built-in method torch.relu}
      600    0.002    0.000    1.524    0.003 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_fast.py:275(__len__)
      600    1.522    0.003    1.522    0.003 {method 'get_vocab_size' of 'tokenizers.Tokenizer' objects}
    30000    1.469    0.000    1.469    0.000 {method 'pow' of 'torch._C.TensorBase' objects}
      600    0.004    0.000    1.436    0.002 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/contextlib.py:141(__exit__)
      600    0.001    0.000    1.426    0.002 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/hook_points.py:235(reset_hooks)
      600    0.061    0.000    1.422    0.002 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/hook_points.py:222(remove_all_hook_fns)
   168000    0.166    0.000    1.360    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/hook_points.py:128(remove_hooks)
     7200    0.010    0.000    1.098    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/functional.py:2103(softmax)
     7200    1.087    0.000    1.087    0.000 {method 'softmax' of 'torch._C.TensorBase' objects}
   819811    1.049    0.000    1.049    0.000 {method 'detach' of 'torch._C.TensorBase' objects}
    53615    0.090    0.000    1.022    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:221(__init__)
   338400    0.395    0.000    0.996    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/modules/module.py:1944(__setattr__)
   153600    0.984    0.000    0.984    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/utils.py:545(apply)
    53615    0.970    0.000    0.970    0.000 {method 'encode_batch' of 'tokenizers.Tokenizer' objects}
322890/215060    0.448    0.000    0.935    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:1086(__getattr__)
      600    0.858    0.001    0.858    0.001 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/components/embed.py:27(forward)
    14400    0.836    0.000    0.836    0.000 {built-in method torch.where}
    54215    0.162    0.000    0.803    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/utils.py:1191(__enter__)
    53615    0.227    0.000    0.771    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_fast.py:423(set_truncation_and_padding)
    53615    0.184    0.000    0.760    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:699(convert_to_tensors)
3325224/2648424    0.394    0.000    0.734    0.000 {built-in method builtins.isinstance}
   666211    0.722    0.000    0.722    0.000 {method 'sum' of 'torch._C.TensorBase' objects}
   138014    0.681    0.000    0.681    0.000 {built-in method torch.tensor}
   216860    0.172    0.000    0.655    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/utils.py:1125(set_nested_attr)
    53615    0.134    0.000    0.626    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:2672(_get_padding_truncation_strategies)
     7200    0.102    0.000    0.615    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/components/abstract_attention.py:483(apply_causal_mask)
    30784    0.523    0.000    0.523    0.000 {built-in method torch.tensor_split}
      600    0.007    0.000    0.454    0.001 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/ActivationCache.py:772(stack_activation)
   107230    0.063    0.000    0.446    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:736(as_tensor)
   868281    0.231    0.000    0.433    0.000 {built-in method builtins.getattr}
      600    0.418    0.001    0.418    0.001 {built-in method torch.stack}
   666211    0.418    0.000    0.418    0.000 {method 'numpy' of 'torch._C.TensorBase' objects}
      600    0.011    0.000    0.402    0.001 /Users/erikzeiner/currentGit/surprisal_internal_layers/src/EZ_run_gpt2_transformer_lens.py:82(<listcomp>)
    54215    0.057    0.000    0.388    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/utils.py:1215(__exit__)
   216871    0.078    0.000    0.367    0.000 {built-in method builtins.setattr}
     7200    0.345    0.000    0.345    0.000 {built-in method torch.isnan}
      600    0.304    0.001    0.304    0.001 {built-in method torch.cat}
     8400    0.067    0.000    0.304    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/_tensor.py:1175(__iter__)
   108430    0.142    0.000    0.289    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:1062(__setattr__)
      620    0.012    0.000    0.273    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/tqdm/std.py:1160(__iter__)
   389400    0.270    0.000    0.270    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/modules/module.py:1927(__getattr__)
   431320    0.124    0.000    0.256    0.000 {built-in method builtins.any}
    30000    0.254    0.000    0.254    0.000 {method 'view' of 'torch._C.TensorBase' objects}
      599    0.011    0.000    0.254    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/tqdm/std.py:1198(update)
     7200    0.242    0.000    0.242    0.000 {built-in method torch.zeros_like}
      619    0.004    0.000    0.241    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/tqdm/std.py:1325(refresh)
      639    0.005    0.000    0.222    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/tqdm/std.py:1464(display)
   336000    0.096    0.000    0.216    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/hook_points.py:134(_remove_hooks)
   225000    0.194    0.000    0.194    0.000 {built-in method torch._C._get_tracing_state}
      600    0.051    0.000    0.193    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/HookedTransformer.py:289(get_residual)
   338400    0.134    0.000    0.189    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/parameter.py:10(__instancecheck__)
  1565841    0.187    0.000    0.187    0.000 {method 'endswith' of 'str' objects}
   338400    0.132    0.000    0.184    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/parameter.py:216(__instancecheck__)
    57600    0.020    0.000    0.181    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/einops/_backends.py:257(transpose)
     8400    0.178    0.000    0.178    0.000 {method 'unbind' of 'torch._C.TensorBase' objects}
   108430    0.071    0.000    0.163    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/utils.py:1106(get_nested_attr)
    57600    0.161    0.000    0.161    0.000 {method 'permute' of 'torch._C.TensorBase' objects}
    53615    0.028    0.000    0.161    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/collections/__init__.py:1111(__init__)
   107830    0.054    0.000    0.156    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_fast.py:342(convert_tokens_to_ids)
      639    0.007    0.000    0.145    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/tqdm/std.py:1150(__str__)
   267815    0.144    0.000    0.144    0.000 {method 'to' of 'torch._C.TensorBase' objects}
   108430    0.100    0.000    0.138    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/copy.py:128(deepcopy)
  2072075    0.138    0.000    0.138    0.000 {method 'get' of 'dict' objects}
   666211    0.137    0.000    0.137    0.000 {method 'cpu' of 'torch._C.TensorBase' objects}
    53615    0.060    0.000    0.133    0.000 <frozen _collections_abc>:941(update)
      639    0.034    0.000    0.129    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/tqdm/std.py:464(format_meter)
    53615    0.032    0.000    0.128    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_fast.py:551(<listcomp>)
    30784    0.128    0.000    0.128    0.000 {built-in method torch.cumsum}
    53615    0.124    0.000    0.124    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/utils.py:1285(get_tokens_with_bos_removed)
   153600    0.105    0.000    0.121    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/compiler/__init__.py:380(is_compiling)
   168000    0.120    0.000    0.120    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/utils/hooks.py:35(remove)
      600    0.090    0.000    0.120    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/hook_points.py:566(get_caching_hooks)
      600    0.009    0.000    0.119    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/components/pos_embed.py:25(forward)
    30000    0.104    0.000    0.104    0.000 {method 'sqrt' of 'torch._C.TensorBase' objects}
   753610    0.099    0.000    0.099    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:1092(<genexpr>)
    53615    0.088    0.000    0.096    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_fast.py:295(_convert_encoding)
   107830    0.038    0.000    0.094    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_fast.py:358(_convert_token_to_id_with_added_voc)
     1917    0.003    0.000    0.090    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/tqdm/utils.py:378(disp_len)
     1917    0.002    0.000    0.083    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/tqdm/utils.py:374(_text_width)
     1917    0.018    0.000    0.082    0.000 {built-in method builtins.sum}
   504000    0.072    0.000    0.072    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/utils/hooks.py:33(<genexpr>)
      639    0.003    0.000    0.072    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/tqdm/std.py:457(print_status)
   666211    0.066    0.000    0.066    0.000 {method 'tolist' of 'numpy.ndarray' objects}
   284634    0.042    0.000    0.064    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/tqdm/utils.py:375(<genexpr>)
   325290    0.061    0.000    0.061    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:1068(<genexpr>)
    53614    0.043    0.000    0.061    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_fast.py:477(<dictcomp>)
    87000    0.046    0.000    0.059    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/einops/_backends.py:22(get_backend)
      600    0.057    0.000    0.057    0.000 {method 'clone' of 'torch._C.TensorBase' objects}
   107830    0.056    0.000    0.056    0.000 {method 'token_to_id' of 'tokenizers.Tokenizer' objects}
     8400    0.011    0.000    0.055    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/ActivationCache.py:150(__getitem__)
   325299    0.054    0.000    0.054    0.000 {method 'split' of 'str' objects}
     8400    0.053    0.000    0.053    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/utilities/devices.py:104(get_device_for_block_index)
      600    0.002    0.000    0.052    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/einops/einops.py:603(repeat)
     7800    0.051    0.000    0.051    0.000 {method 'transpose' of 'torch._C.TensorBase' objects}
   174000    0.050    0.000    0.050    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/einops/_backends.py:88(shape)
      600    0.006    0.000    0.050    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/utils/rnn.py:415(pad_sequence)
   485853    0.045    0.000    0.045    0.000 {method 'append' of 'list' objects}
    54215    0.045    0.000    0.045    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/utils.py:1157(__init__)
     8400    0.023    0.000    0.044    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/utils.py:616(get_act_name)
    53617    0.024    0.000    0.041    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/enum.py:688(__call__)
   676800    0.040    0.000    0.040    0.000 {function _ParameterMeta.__instancecheck__ at 0x107284860}
      639    0.002    0.000    0.038    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/tqdm/utils.py:386(disp_trim)
   107230    0.024    0.000    0.038    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/__init__.py:1100(is_tensor)
      639    0.003    0.000    0.035    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/tqdm/std.py:451(fp_write)
   107230    0.028    0.000    0.035    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:260(__getitem__)
   162000    0.034    0.000    0.034    0.000 {method 'dim' of 'torch._C.TensorBase' objects}
    54215    0.015    0.000    0.034    0.000 <frozen abc>:117(__instancecheck__)
   214460    0.033    0.000    0.033    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/collections/__init__.py:1128(__setitem__)
      600    0.033    0.000    0.033    0.000 {built-in method torch._C._nn.pad_sequence}
     1318    0.003    0.000    0.032    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/tqdm/utils.py:194(inner)
   307200    0.032    0.000    0.032    0.000 {method 'items' of 'collections.OrderedDict' objects}
    53615    0.022    0.000    0.030    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/enum.py:193(__get__)
334215/334207    0.029    0.000    0.029    0.000 {built-in method builtins.len}
      719    0.007    0.000    0.028    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/wandb/sdk/lib/console_capture.py:146(write_with_callbacks)
    45600    0.027    0.000    0.027    0.000 {method 'size' of 'torch._C.TensorBase' objects}
   107230    0.026    0.000    0.026    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_fast.py:573(<listcomp>)
   168000    0.026    0.000    0.026    0.000 <string>:2(__init__)
    53615    0.019    0.000    0.023    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:2926(_is_valid_text_input)
   250197    0.023    0.000    0.023    0.000 {method 'items' of 'dict' objects}
   282717    0.021    0.000    0.021    0.000 {built-in method unicodedata.east_asian_width}
